Nom,prix,link,marque,Description,modele,couleur,cathegorie
Generic 2 En 1 Lisseur à Cheveux Outils De Coiffage-Blanc,2890,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/50/332401/1.jpg?5943,Generic,"['Matériau: plastique', 'Fréquence: 50hz', 'Coiffure applicable: sèche', 'Régulateur de température: thermostat', 'Package: Rolled Iron x1, UK plug x1']",SN1006,Blanc,beaute-hygiene-sante
Generic Tondeuse A Cheveux Electrique Rechargeable,3250,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/55/553911/1.jpg?7135,Generic,"['Puissance : 5W', 'Batterie : batterie lithium-ion 18500 mAh', 'Temps de charge : 3 heures', 'Tension nominale : 5 V', ""Temps d'utilisation : 3 heures"", 'Méthode de charge : charge de la batteriecharge directe USB', 'Ajustement fin de la tête de coupe à double usage : pas de zéro réglable', ""Type de tête d'outil: dents denses de sécurité à angle aigu""]",tondeuses cheveux,Noir,beaute-hygiene-sante
Beard Active Huile Pousse Barbe Rapide - 30 ml - Noir,1700,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/33/55188/1.jpg?9492,Beard Active,"['Beard Growth huile accélère la croissance de la barbe', 'Résultat visible en quelque temps', 'Barbe plus dense et plus épaisse', 'Solution 100% à base de plante', 'Ingrétients: aqua,glycérin,morus alba fruit extract,alcohol,leaft extract multiflorum extract.']",30ML,Noir,beaute-hygiene-sante
Lanbena Liquide blanchissant dentaire biologique - 10 ml,1350,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/71/67188/1.jpg?1105,Lanbena,"['Effet blanchissant.', 'Efficace pour enlever las taches.', 'Blanchiment des dents', 'réduction de la saleté des dents', ""amélioration de l'hygiène buccodentaire"", 'réduction des maladies buccales.']",Lb6092,blanche,beaute-hygiene-sante
Htc Tondeuse Professionnelle Sans Fil - Rechargeable AT 209 - 3W - Bleu,2650,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/51/78639/1.jpg?0413,Htc,"['Qualité professionnelle', 'Rechargeable et à batterie interchangeable', 'Tête de coupe en metal', '1 sabots', 'Moteur silencieux et ultra puissant.', '220V, 3W', 'Bruit inferieur à 70dB']",At -209,Bleu,beaute-hygiene-sante
TOPICREM Lait Éclaircissant Topicrem mela - 500ml - blanc,18900,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/00/170401/1.jpg?8019,TOPICREM,"['Marque: topicrem', 'Type de produits: éclaircissant', 'Couleur : blanc', 'Contenance: 500ml', 'Fabriqué en: Europe']",Lait Éclaircissant,Blanc,beaute-hygiene-sante
Waves Gel Pommades Waves 130 Ml,530,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/91/148911/1.jpg?5391,Waves,"['Type de produit :\xa0Gel Pommades Waves 130 Ml', 'Marque :\xa0Waves', 'Capacité :\xa0130 Ml', 'Quantité : 1', 'Bonne Senteur', 'Durable']",1,Multicolore,beaute-hygiene-sante
Ghandour Cosmetics Eau de Parfum Homme  Sport - Style up - 50ml,480,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/74/631121/1.jpg?6928,Ghandour Cosmetics,"['Type Produit : Soin pour hommes', 'Marque :\xa0Ghandour Cosmetics - Gamme Homme\xa0STYLE UP', 'Livraison à domicile ou en point relais', 'Quantité: 1']",1,blanc,beaute-hygiene-sante
Ideal Gel Douche Idealmen Bleu 400 Ml,600,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/35/148911/1.jpg?9906,Ideal,"['Type de produit :\xa0Gel Douche Idealmen Bleu 400 Ml', 'Marque :\xa0\xa0Idealmen', 'Capacité :\xa0400 Ml', 'Quantité : 1', 'Bonne Senteur', 'Durable']",1,Multicolore,beaute-hygiene-sante
Ideal Gel Douche Idealmen Vert 400 Ml,600,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/45/148911/1.jpg?9929,Ideal,"['Type de produit :\xa0Gel Douche Idealmen Vert 400 Ml', 'Marque :\xa0\xa0Idealmen', 'Capacité :\xa0400 Ml', 'Quantité : 1', 'Bonne Senteur', 'Durable']",1,Multicolore,beaute-hygiene-sante
Flowers Eau De Toilette Black Flowers Pour Homme 100Ml,1570,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/65/43406/1.jpg?1104,Flowers,"['Black Flowers', 'Eau de toilette Pour Homme', 'Senteur boisée au sillage originel et contemporain', 'Spray de 100ml', 'Livraison à domicile ou en point relais']",BLACK FLOWERS,Noir,beaute-hygiene-sante
Lanbena liquide blanchissement dentaire,1700,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/12/664121/1.jpg?3655,Lanbena,"['Effet blanchissant.', 'Efficace pour enlever las taches de thé, de café et d’autres pigments sur les dents, et pour éliminer la plaque.', ""Blanchiment des dents, réduction de la saleté des dents, amélioration de l'hygiène buccodentaire, réduction des maladies buccales."", ""Mode d'emploi : verser deux gouttes de liquide sur un disque de coton, puis frotter le disque sur la surface des dents pendant 1 à 2 minutes. Rincer ensuite la bouche avec de l’eau tiède pendant 3 à 5 minutes. Effectuer le traitement une fois par semaine."", ""Type d'article : liquide blanchissant pour les dents."", 'Contenu du colis\u202f:', '1 flacon de 10 ml de liquide blanchissant pour les dents']",LB5555,blanche,beaute-hygiene-sante
Sivoderm Gamme sivoderm 3 pièces-1 savon 80G - 1 crème 25G  et une lotion 90ML,1700,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/99/45774/1.jpg?5915,Sivoderm,"['GAMME SIVODERME 3 PIÈCES', '1 SAVON 80G', '1 SURLET 25G', '1 LOTION 90ML', 'Rend propre et unifie']",0,VERT,beaute-hygiene-sante
Nova 2 en 1 Lisseur de Cheveux en Fer à Friser or +6 Cadeaux SN1022,3500,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/12/332401/1.jpg?5952,Nova,"['Tension: 220V', 'Fréquence: 50HZ', 'Cheveux applicables: secs', 'Régulateur de température: thermostatique', 'Remblayage: fer à friser x 1 + 6 Cadeaux']",SN1022,Or,beaute-hygiene-sante
Generic Lisseur Peigne Sèche-cheveux Numérique Brosse Comme Image Noir,4000,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/45/357001/1.jpg?3700,Generic,"['1. Chauffe rapidement', ""2. 60 minutes d'arrêt automatique"", ""3. Température d'affichage de l'écran LCD"", '4. Les poils en céramique 3D redressent doucement les cheveux', ""5. Contrôle de la température réglable jusqu'à 450 F""]",Sèche-cheveux,Noir,beaute-hygiene-sante
TOPICREM Mela Lait Eclaircissant Ultra-hydratant - 500 Ml - Blanc,16990,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/22/357121/1.jpg?3631,TOPICREM,"['Type de produit: Soin Clarifiant.', 'Formule haute sécurité et haute tolérance.', 'Clarifie\xa0, unifie et prévient l’apparition des taches brunes.', 'Hydratation intense pendant 24 h.', 'Application matin etou soir sur le corps.']",1,Blanc,beaute-hygiene-sante
