modele,Nom,couleur,cathegorie,marque,prix,Description,link
Bouilloire,"Generic Bouilloire électrique Myfriend MF-2311 – 2,3 L",GRIS/NOIR,electronique,Generic,7890,"['Type de produit : Bouilloire électrique', 'Marque : My friend', 'Capacité : 2,3 litres', 'Application: Hôtel, Commercial, Ménage', ""Source d'alimentation : électrique"", 'Matériau : acier inoxydable 201', 'Base rotative à 360 degrés,', ""Protection contre l'ébullition à sec."", 'Arrêt automatique : Oui', 'Matériau : Acier inoxydable', 'Puissance : 2000W', 'Voltage : 220V']",https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/58/317121/1.jpg?4909
Radio 910,"White Radio FM - IMP3 Rechargeable avec écran digital, BT port USB alimentation piles",N/A,electronique,White,10550,"['TORCH', 'USB', 'SD PLAYER', 'RECHARCHEABLE BATTERIE', 'POWER FULL SOUND', 'MP3', 'Hi-Fi']",https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/85/18849/1.jpg?1490
3070,Generic Radio FM Rechargeable - port USB - MP3 carte / TF - Alimentation Piles,N/A,electronique,Generic,8000,"['TORCH', 'USB', 'SD PLAYER', 'RECHARCHEABLE BATTERIE', 'POWER FULL SOUND', 'MP3', 'Hi-Fi']",https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/06/86539/1.jpg?4394
SOLAIRE,Generic CHARGEUR SOLAIRE 2 ENTRÉES,gris/noir,electronique,Generic,10000,[],https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/65/990121/1.jpg?9400
400W,AKKO STAR Souffleur et Aspirateur AKKO STAR 400W,Verte,electronique,AKKO STAR,15000,"['Type de produit : Souffleur et Aspirateur', 'Marque : AKKO STAR', 'Tension : 220-240 V ~ 5060 Hz.', ""Puissance d'entrée : 400 W"", 'Vitesse à vide : 16 000 trmin', 'Taux de soufflage maximum : 3,5 m3min Vitesse variable']",https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/42/134121/1.jpg?0960
RD35,Hisense - RÉFRIGÉRATEUR DEUX PORTES - 270 LITRES – RD-35DR4SA,ARGENT,electronique,Hisense,255000,"['Marque: Hisense', 'Capacité réfrigérateur: 215L\nCapacité congélateur: 55L', 'Indice d’efficacité: ****', 'Dimensions (L  P  H): 47.5×49.1×150.6 CM', 'Poids: 38Kg', 'Couleur: argent', 'Réfrigérant: R600A', 'Consommation d’énergie: économique', 'Classe énergétique:\xa0 A (Technologie respectueuse de l’environnement)', 'Classe climatique: SN-T', 'Capacité de congélation (kg  24h): 2', 'Dégivrage (dégivrage  sans givre): dégivrage Automatique', 'Poignée de porte:', 'Contrôle de la température: Système de contrôle Manuel', 'Tension: 220~240 V', 'Fréquence: 50 Hz', 'Désodorisant: Non', 'Éclairage intérieur: LED', 'Compresseur:', 'option: 1 bac à légumes en cristal avec couvercle en verre,  Mode eco, Porte réversible']",https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/00/18788/1.jpg?8264
4210,White Haut-parleur Bluetooth sans avec radio - port USB - carte /TF,Noir,electronique,White,12900,"['Produits radio bt speaker', 'Matière électronique', 'Mode électronique', 'Qualité Bonne', 'Designe cristal']",https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/56/31749/1.jpg?3692
43LJ550V,LG Smart TV LED 43 Pouces - Full HD - Noir - Garantie 12 Mois,Noir,electronique,LG,249500,"['Type de Produit : TV LED', 'Marque : LG', 'Modèle : 43LJ550V', 'Smart TV webOS 3.5', 'Écran : 43"" Pouces(108\xa0cm)', 'Résolution : Full HD 1920x1080 Pixels', 'Haut-parleurs : 10W', 'HDMI :2', 'USB : 1', 'Couleur : Noir']",https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/57/51883/1.jpg?1326
B27,Generic Support mural TV fixe 14-42 pouces,Noir,electronique,Generic,3500,"['Type de produit: Support mural', 'Taille de télé: 14 à 42 pouces', 'Capacité de charge: 25 kg', 'Distance au mur: 25mm', 'Epaisseur: 1mm', 'Poids: 0.5 kg']",https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/90/04799/1.jpg?8685
TH10,Generic Casque Bluetooth sans Fil avec Micro,noire,electronique,Generic,24900,[],https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/93/611811/1.jpg?4445
