modele,Nom,couleur,cathegorie,marque,prix,Description,link
VK,Generic Ecouteurs Sans Fil Bluetooth - O R Noir,N/A,electronique,Generic,6500,"['Type:\xa0 \xa0Ecouteurs bluetooth', 'Fonction: pour Mobile Phone, pour Internet Bar, pour Video Gamer, Monitor Headphone, HiFi Headphone, Sport, Common Headphone', 'Modele: VK89', 'Microphone, Supports musique', 'Résiste à la déformation']",https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/84/70099/1.jpg?4928
U9003,Kisonli BAFFLE HAUT PARLEUR FILAIRE KISONLI U9003,NOIRE,electronique,Kisonli,5976,"['PRODUIT BAFFLE', 'INTERFACE USB 2.0', 'MARQUE KISONLI', 'MODELE U9003', 'COMPATIBLE AVEC PERIPHERIQUES USB']",https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/81/212001/1.jpg?4782
50/50,Generic CUISINIERE ASTECH 4 FEUX 50/50 INOX,INOX,electronique,Generic,123800,[],https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/03/38999/1.jpg?3070
jerry,Jerry Home Theatre - Enceinte Bluetooth - Rouge Noir,rouge-noir,electronique,Jerry,33500,"['Chaînes: 3.1', 'Caractéristique spéciale: Mini système, système sans fil', 'Assistance: Compatible avec la radio FM,  Affichage VFD  USB Entrée SD  USB  SD  MMC  DVD', 'Avec radio FM, écran VFD, entrée USB SD', 'Télécommande complète', 'Bluetooth']",https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/81/64149/1.jpg?4412
K9,"Generic 2 Micro-cravate sans fil pour iPhone diffusion direct Youtube, Facebook,tik tok",NOIR,electronique,Generic,11600,"['Fréquence : 2.4GHz', ""Tension d'entrée : DC4.8-5.4V"", 'Port de charge : pour Lightning', 'Capacité de la batterie : 75mAh', 'Distance de transmission : 8 m avec barrière, 20m sans barrière', 'Taille du microphone : 60*15 * 10mm', 'Poids du microphone : 7g', 'Taille du récepteur : 44*28 * 7mm', 'Poids du récepteur : 3g']",https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/13/172711/1.jpg?8936
Électronique,Generic Écouter sans fille booltooch,Noir,electronique,Generic,3120,[],https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/15/656121/1.jpg?2331
X9  UNIQUE COMBINAISON,Ultra smart watch Power bank airpod chargeur du tout en 1  X9 UNIQUE Combinaison,ORANGE,electronique,Ultra,20250,"['produit smart watch X9', 'couleur ORANGE', 'protection ip68', '49MM', 'chargeur 20 w', 'chargeur smart watch']",https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/91/466121/1.jpg?2008
Generic,Generic Amplificateur d'Ecran 3D 2021 pour téléphone portable HD,Noir,electronique,Generic,7150,"['Matériel: ABS + verres acryliques.', ""Taille de l'écran: 12 pouces. Grossissement: 3-4 fois."", 'Taille: 260x174x9mm.', 'Utilisation : partout', ""Projecteur de téléphone portable facile à utiliser, à transporter, léger et pliable pour que vous puissiez l'emporter partout"", 'la distance optimale est de 1 à 2 mètres', 'couleur :\xa0Noir']",https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/49/04679/1.jpg?0132
Décodeur de télévision,Generic Boîtier De Télévision Décodeur H40 TV BOX 4K - 2+16G - Noir,Noir,electronique,Generic,24990,"['Processeur : Allwinner H616 quadricœur 64 bits', 'G-PU : Mali-G31 ;', '2gb16gb + 2.4g et 5g wifi + bluetooth,', ""Système d'exploitation Android 10.0 ;"", '6k 30fps, 4k 60fps ; h264avc bpmphp level5.1, mvc, 4k 30fps;', 'Énergie : CC 5 V, 2 A', 'Ports USB : 2 x USB 2.0', 'Matériau : ABS', 'Taille: 10.9*10.9*1.7cm']",https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/07/021121/1.jpg?9904
B45,Generic Hachoir 5 litres à Viande - Electrique - Acier Inoxydable,Inoxydable,electronique,Generic,16000,"['Voltage: 220-240V', 'Puissance: 2000W', 'Poids: 1.6 kg', 'Dispositif de Protection: protection contre la surchauffe du moteur', 'lHachoir 5 litres à viande électrique multifonctionnel de haute qualité']",https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/10/48749/1.jpg?1152
STCB-303M,SMART TECHNOLOGY Réfrigérateur Combiné - STCB-303M- 231 L - Argent - 12 Mois Garantie,Gris,electronique,SMART TECHNOLOGY,212500,"['Type de produit : Réfrigérateur Combiné', 'Modèle : STCB-303MS', 'Capacité brute: 230L', 'Capacité met: 231L', 'Type de climate: T', 'Classe de protection: I', 'Tension: 220-240 V', 'Puissance total à l entréé: 89W', ""Consommation d' énergie: 0.64Kw;h24h"", 'Frequence: 50 Hz', 'Gaz réfrigérant: R600a(67g)', 'Tropicalisé', 'Design moderne perfectionné', 'Economie d’électricité', ""Economie d'énergie"", 'Condenseur Extérieur', 'Thermostat Réglable', 'Tropicalisé', 'Niveau sonore : Silencieux', 'Dimensions :\xa053.7×53.2×168.4cm', 'Poids : 45Kg']",https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/05/581401/1.jpg?2071
soundbar,XIAOMI Mi TV SOUNDBAR - Barre de son - Blanc,blanc,electronique,XIAOMI,52900,"['Comprend 8 pilotes audio qui amélioreront votre visionnage de films, votre gameplay et votre lecture de musique', 'Vous pouvez connecter vos appareils mobiles sans effort via les connexions S  PDIF, optique, Aux-in et Bluetooth', 'La conception sans tracas offre une configuration épurée sans tracas qui ne prend que 30 secondes', ""Le design minimaliste dans un ton gris moderne s'accorde bien avec n'importe quel décor"", 'Play your favorite songs at the next get-together by simply connecting the Soundbar to your phone or laptop via Bluetooth 4.2 LE', ""CONFIGURATION FACILE: Connectivité TV: insérez le câble S  PDIF dans la barre de son Mi et le port S  PDIF du téléviseur.\xa02.Connectivité de la source d'alimentation: insérez la tête de l'adaptateur dans l'interface d'entrée CC de la barre de son Mi et connectez l'adaptateur à une source d'alimentation.\xa03. mise sous tension: appuyez sur le bouton de l'interrupteur d'alimentation de l'appareil, et lorsque le signal S  PDIF sur le dessus de l'appareil s'allume, vous pouvez commencer à l'utiliser.""]",https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/24/92776/1.jpg?1902
TX14,Generic Antenne Numérique Gratuite 3600Miles Amplificateur De Signal TV 4K UHD Récepteur,Noir,electronique,Generic,7200,"[""Guide d'installation."", ""Étape 1 : Connectez une extrémité du câble coaxial (f-mâle) fourni au connecteur ANTIN situé à l'arrière de votre téléviseur ou de votre tuner D V B."", 'Étape 2 : Dans le menu de configuration du téléviseur, réglez le mode du tuner sur ""Antenne"" ou ""Air"".', 'ou ""Air"", veuillez vous référer au manuel du téléviseur pour des instructions plus détaillées.', 'Étape 3 : Dans le menu de configuration du téléviseur, réglez le téléviseur sur la chaîne ""Scan"". Ceci est', 'parfois appelé Programme automatique, Balayage automatique, Recherche de chaînes ou Balayage de chaînes.', 'Scan.', ""Étape 4 : si la réception est sporadique, essayez de déplacer l'antenne à un autre endroit et scannez à nouveau le téléviseur jusqu'à ce que vous trouviez la meilleure position."", ""Étape 5 : Fixez l'antenne au meilleur endroit que vous avez trouvé."", 'Veuillez noter que', ""Si vous placez l'antenne en hauteur ou près d'une fenêtre, la réception peut être meilleure."", ""meilleure réception et vous devrez refaire un balayage lorsque vous déplacerez l'antenne. 2."", ""2. Si vous utilisez un téléviseur HD à écran plat, consultez le manuel de votre téléviseur pour vous assurer qu'il dispose d'un tuner intégré."", '3. Assurez-vous que vous utilisez un récepteur HD, sinon vous ne recevrez pas les chaînes HD, lisez le manuel du récepteur.', 'Vous devez réajuster votre téléviseur et votre récepteur numérique de temps en temps pour vous assurer que vous pouvez recevoir tous les services disponibles.', 'pour vous assurer que vous pouvez recevoir tous les services disponibles.', ""Le réajustement ne prend que quelques minutes et peut être effectué à l'aide de votre télécommande."", ""5. La réception de la télévision dépend de la distance entre votre domicile, la tour de transmission et l'environnement.""]",https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/82/938911/1.jpg?8561
CS1292DE,Candy MACHINE A LAVER - CANDY - 9KG - GARANTIE 12 MOIS,SILVER/BLANC,electronique,Candy,295900,"['Marque : CANDY', 'Lave-linge frontal', 'Lav 9 kg', '1400 trsmin', 'Classe A', ""Consommation d'eau : 27000 Lan"", 'Volume du tambour : 66 L', '15 programmes', 'Dimensions : L 60 x H 85 x P 54 cm']",https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/24/88206/1.jpg?3904
lampe solaire 3,Generic Lampe solaire extérieure Led - Détecteur de mouvement - 3Lampes,Noir,electronique,Generic,7671,"['Type de Produit:\xa0Lampe solaire extérieure Led - Détecteur de mouvement - Noir', 'Couleur émise: Blanc', 'LED Quantité: 20 pièces SMD2835', ""Taux D'IP: IP65"", 'Mode: induction du corps humain + contrôle de la lumière', ""Panneau solaire: 0.55 W, 17% d'efficacité"", 'Batterie Li-ion: 3.7 V1200 mAh', 'Capteur de nuit: 10 Lux', 'Taille du panneau solaire: 8 cm * 4.5 cm', 'Taille: 13 cm * 10 cm * 5 cm', ""Mode d'éclairage: éteintélevé"", 'Temps de Charge: 6', 'Temps de travail: 7-10 Hrs', ""Applications: cour, jardin, allée, porte d'entrée etc""]",https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/82/05188/1.jpg?7804
K0920404,Tefal Hachoir Mécanique Manuel Tefal 5 Seconde 500 ML -K0920404 - Vert,Vert,electronique,Tefal,12800,"['Type de produit : Hachoir Manuel', 'Marque\xa0: Tefal', 'Modèle\xa0: K0920404', 'Rapide et facile', 'Robuste', 'Tout usage : Utile pour une large gamme de préparations alimentaires', ""Sécurisé : le couvercle est équipé d'un système de verrouillage"", 'Couleur  : Vert', 'Dimensions du produit (L x l x h)\xa0: 11.16 x 11.34 x\n10.8 cm; 231.33 grammes', 'Matériau\xa0: Plastique', 'Caractéristiques\xa0: Plate', ""Poids de l'article\xa0: 231 g""]",https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/80/12788/1.jpg?3632
z59,Ultra smart watch z59 ultra noir,noir,electronique,Ultra,18100,"['produit smart watch z59 ultra', 'couleur noir', 'protection ip67', 'taille 45 x 32 x 12mm']",https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/11/370911/1.jpg?9206
Caméra de surveillance 1080P,"Generic LBQ Caméra De Surveillance 1080P E27 WiFi IP PTZ,Avec Suivi Automatique Des Mouvements",Blanc,electronique,Generic,16200,"['1. Suivi automatique', ""2. Surveillance du panoramique et de l'inclinaison en douceur"", '3. Surveillance jour et nuit', ""4. push d'alarme d'application dynamique"", '5. audio bidirectionnel clair', '6. Accès à distance P2P', '7. Disponible partout, facile à installer', '8. Carte TF et options de stockage en nuage (non incluses)', '9. vision nocturne colorée10. Soutenir Alexa']",https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/78/201911/1.jpg?5305
chargeur batterie,Unbrand Chargeur batterie universel USB + Lot de 4 piles rechargeables AA,Blanc,electronique,Unbrand,13491,"['Pour charger AAAAA', 'Couleur: Blanc', 'Chargeur 4 fois avec 4 LED', '4 Canaux indépendant', ""Equipé d'un câble\xa0chargeur USB""]",https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/88/152121/1.jpg?9037
HSA40502S,Beko CONGELATEUR - BEKO - HORIZONTAL - 500L - HSA 40502 S - GARANTIE 12 MOIS,GRIS,electronique,Beko,340000,"['Type de produit: Coffre', ""Type d'installation: Pose libre"", 'Volume net du congélateur: 500L', ""Classe d'efficacité énergétique: A"", 'Type de froid: Statique', 'Freezer Position: Chest', 'Couleur: Silver', 'Fast Freeze: Yes', 'Annual Energy Consumption 25°: 398 kWhan', ""Consommation d'énergie quotidienne à 25° C: 1.1 kWhjour"", 'Niveau sonore: 44 dBA', 'Classe climatique: SN-T', 'Tension: 220 - 240 V', 'Fréquence: 50 Hz']",https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/54/65919/1.jpg?0732
a roulette,"Generic Support pour Frigo, Lave-linge et Réfrigérateur  - caoutchouc",Blanc /Bleu ciel,electronique,Generic,8900,"['Nom du produit: SUPPORT de machine à laver', 'Longueur: réglable 50-62cm', 'Largeur: réglable 45-60CM', 'Hauteur: 9-10cm', 'Charge: 300 kg', ""Fonctionnalité: S'applique à tous les appareils ménagers"", 'Facile à déplacer et à nettoyer.', 'Facile à installer sans outils.']",https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/02/60099/1.jpg?3714
Home Cinéma 2.1,Kisonli Home Cinéma 2.1-haut-parleur multimédia- avec Bluetooth & port USB/SD,N/A,electronique,Kisonli,16000,"['Bluetooth sans fil', 'USB lecteur MP3', 'TF Lecteur MP3', 'Radio FM', 'AUX IN', 'Résistant aux éclaboussures']",https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/36/39979/1.jpg?6820
RFR310DWB – 4T,Roch Combiné 310 Litres – 2 Portes – RFR310DWB - 4T + FONTAINE – Gris – Classe A+,Gris,electronique,Roch,259900,[],https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/46/144121/1.jpg?9295
neant,Generic Mixeur fruits et Moulin à Grains 2 en 1 grand modèle - Coffee Grinder,Argentin,electronique,Generic,13500,"['Produit:\xa0Mixeur Moulin à Grains - Coffee Grinder', 'Voltage: 220-240v', 'Fréquence: 5060hz', 'Puissance: 150w', '2 Pin 1']",https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/08/905711/1.jpg?9453
z59,Ultra smart watch z59 ultra orange,orange,electronique,Ultra,18100,"['produit smart watch z59 ultra', 'couleur orange', 'protection ip67', 'taille 45 x 32 x 12mm']",https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/01/370911/1.jpg?9685
4A4U,Amely Rallonge 4 port USB et 4 prise de tête,blanc,electronique,Amely,3520,[],https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/55/58999/1.jpg?1401
inox,Generic Presse Citron - Inox Manuel,métallique,electronique,Generic,2500,"['Petit presse-agrumes manuel', 'Forme de la coque idéale pour obtenir un maximum de jus', 'Utilisation et nettoyage faciles', 'Peut être accroché pour un rangement gain de place', 'Composition : métal', 'Dimensions (Ø intérieur x L) : 7 x 22 cm, 200 g • Matière: inox']",https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/30/05706/1.jpg?2572
11X6,Generic Mini fer à repasser 2 en 1 avec fonctions Défroisseur à vapeur et Rasoir Anti Bouloches,Vert,electronique,Generic,13500,"['Nom du produit : machine à repasser et à cisailler multifonctionnelle.', 'Longueur de la ligne : 120 cm', 'Taille du panneau : 112*60mm', 'Température de la plaque inférieure : 170℃', 'Bouton : bouton à une touche', 'MULTIFONCTION']",https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/40/363811/1.jpg?5827
STC-6060C,SMART TECHNOLOGY Cuisinière à Gaz 4 Feux Inox - Avec Four Haut et Bas - Rotisseur - Allumage electrique - 60x60Cm - Inox -STC-6060C- Garantie 12 mois,Gris,electronique,SMART TECHNOLOGY,164500,"['Type de produit \u200e:\u200e Cuisinière à Gaz', 'Marque : Smart Technology', 'Modèle : STC-6060C', 'Nombre de feux : 4', 'Corps et espace de travail en acier inoxydable', 'Couvercle en verre', 'Plaque de cuisson', 'Allumage : Electrique', 'Four haut', 'Four bas', 'Tourne broche (rotisseur)']",https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/61/83579/1.jpg?5886
Caméra dôme,"White Label Caméra dôme IP en plastique, H.265X 1080P XM530 + F37",Blanche,electronique,White Label,20000,"['Type de produit : Caméra de surveillance', 'Stockage : 128 Go', ""Consommation d'énergie : 3 W"", 'Lentille : 3.6 mm', ""Systèmes D'exploitation supportée : Windows xp,Windows 7,Mac OS,Windows8,windows 10"", 'Interface réseau : rj-45 10100mb ethernet slot', 'Format de compression vidéo : H.264', 'alimentation( v) : 5V-12V', 'Connectivity : IPRéseau câblé', 'Haute Définition : 1080P (Plein-HD)', 'Type : Caméra ip', 'Mégapixels : 2MP', 'Style : Caméra dôme']",https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/53/307121/1.jpg?1920
RCST330SX,Enduro Réfrigérateur Combiné 4 tiroirs 300 litres - RCST330SX - Classe A++,Gris,electronique,Enduro,246250,"['Type de refroidissement : Defrost', 'Couleur : Semi Inox', 'Volume brut total : 300 litres', 'Volume net total : 256 litres', 'Volume net refroidisseur : 152 litres', 'Volume net congelateur : 104 litres', 'Classe énergétique : A++', 'Classe climatique : SN-T', 'Type de refrigerant : R600A', 'nombre de tiroirs congélateur : 4', 'Dimensions (LxPxH mm) : 540x610x1830', 'Bac à glaçon', 'Portes oeufs', 'Etagères en verre trempé ajustable', 'Accessoires transparents', 'Portes reversibles', 'Dégagement à zero', 'Pieds de nivellement']",https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/86/923711/1.jpg?7828
60x60 inox,Roch CUISINIERE - ROCH - 60X60 INOX - AVEC MINUTERIE - GARANTIE 12 MOIS,argent,electronique,Roch,169000,"['Marque: ROCH', 'Cuisinière à gaz avec allumage électrique', 'Dimensions:\xa060X60', 'Nombre de brûleurs: 4 Feux', 'Couvercle: en verre', 'Full options: Four\xa0 – Tourne broche – Double Grill –\xa0Minuterie', 'Couleur Inox']",https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/90/23516/1.jpg?9414
RCSE300K30,Beko Réfrigérateur - Combiné - 4 Tiroirs 287L - Beko - RCSE300 - Argent,Argent,electronique,Beko,315000,"['Marque:\xa0BEKO', 'Référence:\xa0RCSE300K30', ""Type d'installation\xa0Pose libre : Il peut être posé librement dans n'importe quelle pièce de la maison"", ""Type d'appareil:\xa0Réfrigérateur combiné"", ""Conception de l'appareil:\xa0Congélateur en bas"", 'Type de thermostat:\xa0Mécanique', 'Volume utile total:\xa0287 L', 'Congélation : 119 L', 'Réfrigération : 168 L', 'Classe climatique:\xa0SNT (de 10°C à 43°C)', 'Couleur produit:\xa0Argent', 'Classe énergétique:\xa0A+', ""Consommation d'énergie annuelle:\xa0316 kWhan"", ""Coût annuel d'utilisation ( Calculée avec 0,1503 euros par Kw ):\xa047 euros""]",https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/62/73353/1.jpg?2347
BT 07,Blue Spectrum ECOUTEURS BLUE SPECTRUM LIGHNING POUR IPHONE,BLANC,electronique,Blue Spectrum,3325,"['écouteur BLUE SPECTRUM', 'Modèle :\xa0BT 07', 'COULEUR blancHE', 'Epouse parfaitement les formes des oreilles', 'Assurent des bases profondes et riches.']",https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/24/67799/1.jpg?4456
32N5300AS,"Samsung Téléviseur - Samsung - LED - 32"" - Smart Tv - Garantie 12 Mois",Noir,electronique,Samsung,148000,"['Marque: Samsung', 'Model:\xa032N5300AS', 'Taille de l’écran: 31,5 pouces', 'Type d’affichage: LED', 'Plate-forme intelligente: Samsung Smart TV', 'Plage dynamique élevée (HDR): Non', 'Technologie d’amélioration de mouvement: Taux de mouvement 60', 'Nombre d’entrées HDMI: 2', 'Résolution verticale: 1080p (Full HD)']",https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/65/37084/1.jpg?4222
E60,Ambie Écouteurs Sans fil Bluetooth à Oreille Ouverte Ambie Sound Extra Bass Stéréo TWS - Blanc,Blanc,electronique,Ambie,17990,"['Profils sans fil compatibles : A2DP, AVRCP, HFP, HSP', 'Batterie : batterie lithium-ion (30 MAH)', 'Couleur : noir, blanc', ""Durée de lecture continue : 6 heures plus 24 heures dans l'étui de chargement"", 'Méthode de communication : Norme sans fil Ver5.2.', 'Distance par rapport au smartphone apparié : environ 10 m (niveau 2)', ""Résistance à l'eau : Le boîtier de charge IPX5 n'est pas étanche"", 'Poids : (corps) environ 4,2 grammes par oreille', 'Le boîtier de charge pèse environ 25 grammes', 'Dimensions : écouteurs (corps) : environ 20,9 x 27,9 x 14,1 mm (0,82*1,09*0,55 pouces)', 'Compartiment de charge : environ 37,3 mm x 66 mm x 21,2 mm1,46*2,59*0,83inch', ""Liste d'emballage :"", ""Casque d'écoute*2pcs"", 'Boîtier de charge*1pcs', 'Câble Type-C*1pcs', ""Manuel d'instruction*1""]",https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/57/835611/1.jpg?9124
TV Elactron 43 pouces,Elactron Smart TV LED 43 pouces - TS-4301S - Full HD - Noir - Garantie 12 Mois,Noir,electronique,Elactron,135000,"['Type Produit : Téléviseur Smart', 'Marque : Elactron', 'Modèle :\xa0TS-4301S', 'Résolution affichage : Full HD 1920x1080 Pixels', 'Puissance Haut parleurs :\xa0 2x10W', 'Smart TV', 'Taile écran : 43 pouces', 'HDMI : x2', 'USB : x2', 'Couleur : Noir']",https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/10/491601/1.jpg?9329
0.5,"Generic Aspirateur de voiture sans fil, Mini appareil pour la maison, avec chargeur Usb",Aléatoire,electronique,Generic,8900,"['Type de produit : Mini-aspirateur', 'Avec câble USB', 'Il est également excellent pour le nettoyage de la voiture et de la maison', 'Taille : 14×16 cm', ""La taille de l'élément supplémentaire : 14 cm, 18 cm avec le pinceau"", 'Couleur : Noir', 'Puissance : 120 W']",https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/64/537811/1.jpg?6809
Oraimo,Oraimo Mini Barre Son Bluetooth Usb Radio Fm - Barre Son - Garantie 365 jours,Noir,electronique,Oraimo,39900,"['Type\xa0 : Sound', 'Marque : Oraimo', 'Modèle : OBS-33S', 'Radio FM, USB, lecteur de carte TF', 'Entrée audio, casque, lecture bluetooth, téléphone bluetooth', 'Capacité de la batterie: 400 mAh', 'Couleur : Noir']",https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/64/79488/1.jpg?2234
43LK57,LG Smart TV LED 43 Pouces - Full HD - Noir,Noir,electronique,LG,249500,"['Type de Produit : TV LED', 'Marque : LG', 'Modèle : 43LK57', 'Smart TV webOS', 'Écran : 43"" Pouces(108\xa0cm)', 'Résolution : Full HD 1920x1080 Pixels', 'Haut-parleurs : 10W', 'HDMI :2', 'USB : 1', 'Couleur : Noir']",https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/00/46284/1.jpg?4530
RL-21,"Electronic Ring light - 21"" avec télécommande - Et trépied - Noir",Noir,electronique,Electronic,39900,"['Type de produit : Accessoires photos et vidéos', 'Nom du produit : Anneaux Lumineux LED', 'Marque : Générique', 'Taille : 21 pouces', 'Télécommande : oui', 'Support pour Smartphones', 'Câble d’alimentation', 'Matière : Métal et Plastique', 'Type de lumière : Multicolore (froid, chaud et moyen, entre froid et chaud)', 'Base : Trépied', 'Support Smartphone : Oui', 'Couleur trépied : Noir']",https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/05/374811/1.jpg?5276
STCB 358H,SMART TECHNOLOGY Réfrigérateur Combiné - 3 tiroirs - STCB-358H- 248L - Argent - 12 Mois Garantie,Gris,electronique,SMART TECHNOLOGY,220000,"['Garantie 12 Mois', 'Type de produit : Réfrigérateur Combiné', 'Modèle : STCB-358H', 'Capacité brute: 276L', 'Capacité nette: 248L', 'Type de climate: STT', 'Classe de protection: I', 'Capacité de congélation: 4.0Kg24h', 'Tension: 220-240 V', 'Frequence: 50 Hz', 'Courant\xa0 Nominal: 1.0A', 'Puissance d entrée nominale: 120W', 'Puissance de la Lampe: 1.5W', ""Consommation d'énergie: 0.84Kwh24h"", 'Gaz réfrigérant: R600a', 'Tropicalisé', 'Design moderne perfectionné', 'Economie d’électricité', ""Economie d'énergie"", 'Condenseur Extérieur', 'Thermostat Réglable', 'Niveau sonore : Silencieux', 'Dimensions :54.3×54.3×179.1cm', 'Poids : 52Kg']",https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/24/780121/1.jpg?6278
STR-160,SMART TECHNOLOGY - RÉFRIGÉRATEUR COMBINÉ - STR-160 - 138 L,Gris,electronique,SMART TECHNOLOGY,144900,"['Modèle: STR-160', 'Capacité : 138 Litres', 'Refrigerant: R134a93g', 'Classe climatique : NSTT', 'Tension : 0,86 A', 'Puissance: 108 Watts', 'Puissance de lampe: 10 W', ""Economie d'énergie"", 'Condensateur extérieur', 'Thermostat : Réglable', 'Bouteille de gaz : C5H10', 'Roulette pour déplacement facile', 'Serrure : Oui', 'Dimensions: 48,6x57,7x133,4 cm', 'Poids :36 kg', 'Garantie: 1 an']",https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/65/369611/1.jpg?4538
90/60,Generic CUISINIERE ASTECH 5 FEUX 90/60 INOX,INOX,electronique,Generic,290000,"['CUISINIERE ASTECH 5 FEUX 9060 INOX', 'Table de cuisson en acier', '4 brûleurs à gaz', '1 Four', 'Plateau Émaillés', 'Grill à gaz', 'Dimensions du foyer :\xa0CUISINIERE ASTECH 5 FEUX 9060 INOX']",https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/43/38999/1.jpg?3070
Moyen,silver crest Mixeur - Extracteur de jus - Rouge -2.5 litres,Rouge,electronique,silver crest,25650,"['Caractéristiques : Multifonctionnel', 'Application: Hôtel , Commercial , Ménage', ""Source d'énergie: usb, batterie, électrique"", 'Type de contrôle : Bouton poussoir', 'Matériau du conteneur : Plastique', 'Matériau du boîtier : Plastique', 'Capacité (l) : 2', 'Nombre de paramètres de vitesse : 3', 'Puissance (W) : 3000', 'Traction (V) : 220']",https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/76/571021/1.jpg?9343
0.2,Wireless Speaker Radio  Bluetooth et MP3 - A39,Noire,electronique,Wireless Speaker,5225,"['Radio haut parleur mp>3', 'Modele A39', 'Couleur noire', 'TF card et usb']",https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/71/191811/1.jpg?2028
Haier 230 TMPS,Haier Réfrigérateur Combiné 175 Litres - Haier 230 TMPS  - Garantie 12 Mois,SILVER,electronique,Haier,179900,"['Marque : HAIER', 'Modèle : Combiné', 'Référence : HDR230TMPS', 'Capacité nette : 175 Litres', 'Capacité congélateur : 50 Litres', 'Capacité Réfrigérateur : 125 Litres', 'Classe climatique : ST', '220-240V – 50Hz', 'Courant nominal : 0.7A', 'Puissance entrée : 100W', 'Puissance lampe max: 15W', 'Réfrigérant : R600a (32g)']",https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/92/336611/1.jpg?4972
G-50,Generic Miroir LED Portable Réveil Numérique Capteur De Corps Humain Haut-Parleur Bluetooth Sans Fil-Noir,Noir,electronique,Generic,8200,"['Nom : haut-parleur Bluetooth', 'Matériau : ABS, composants électroniques', 'Puissance de sortie : 3W THD=10%', 'Capacité de la batterie : 1200 mAh (incluse)', 'Réponse en fréquence : 80Hz-20KHz', 'Gamme de fréquences : 87,5 MHz-108 MHz', 'Version Bluetooth : 5.0', 'Rapport signal sur bruit : supérieur ou égal à 85dB', 'Distorsion : moins de 0,5 %', 'Haut-parleur : 4Ω3W', 'Détails de taille :11,8 cm x 4,8 cm x 3,5 cm4,65 pouces x 1,89 pouces x 1,38 pouces (environ)']",https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/58/957021/1.jpg?2396
