Nom,prix,link,marque,Description,modele,couleur,cathegorie
Generic 10000mAh Power Banks 4 Câbles Très Mince De Charge Intégrés Noir,5890,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/63/01579/1.jpg?4008,Generic,"['Type de produit :\xa0PowerBanks', 'Capacité: 10000mAh', 'Sortie de charge haute vitesse: DC 5.0V 2.1A & 1A.', 'Port Android et iPhone Charge IN']",Power bank,noir,ordinateurs-accessoires-informatique
Generic Souris Sans Fil 2.4G S1000 Plus - Lumineux Noir,2055,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/21/584911/1.jpg?1941,Generic,"['Couleur du produit : Noir', 'Boutons : Trois boutons standard et molette de défilement', 'Technologies sans fil', 'DPI :\xa080012001600']",DL Mice-BLACK,Noir,ordinateurs-accessoires-informatique
Hp IMPRIMANTE TOUT EN UN HP DESKJET 2320 Couleur,37000,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/83/420121/1.jpg?3483,Hp,"['Bénéficiez d’une polyvalence inégalée et de hautes performances pour imprimer, numériser et copier.', 'Exigez une qualité d’impression irréprochable et durable auprès du leader sur le marché.', 'Les produits HP fonctionnent mieux ensemble pour offrir une impression optimale.', 'Imprimez instantanément avec des réglages faciles. L’application HP Smart simplifie vos configurations USB.', 'Reliez facilement l’imprimante à votre ordinateur grâce au port USB intégré.', 'Tous vos documents imprimés, en un clic. Profitez d’une impression instantanée.', 'Les cartouches à encre authentiques HP éditent tous vos documents dans le détail et aux couleurs impeccables.', 'Imprimez plus de pages et remplacez vos cartouches moins souvent avec les cartouches grande capacité HP authentiques.', 'Multifonction sans multiplier les frais. Édition multifonction : impression, photocopie, numérisation.', 'Réglages sur PC en un clic', 'Une qualité fiable', 'Vitesse d’impression 7,55,5 ppm (noir et blanccouleur)', 'Bacs d’alimentation de 60 feuilles et de sortie de 25 feuilles']",Hp 2320,Blanc,ordinateurs-accessoires-informatique
Generic Clé USB Rotative 3 en 1 - Noir 128 Go,3990,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/47/060001/1.jpg?6673,Generic,"['1 : Nom du produit : disque OTG USB', '2 : Taille du produit :67*18*10mm', '3 : Poids du produit : 15 g', '4 : interface : USB 2.0', '5 : Durée de stockage : plus de 10 ans de stockage persistant des données', '6: En utilisant une puce de niveau A, elle peut être effacée à plusieurs reprises 100 000 fois', '7 : facile à lire et à écrire à grande vitesse, aucun pilotealimentation nécessaire, il suffit de le brancher.']",for computer,noir,ordinateurs-accessoires-informatique
"Generic RGB Souris sans Fil Rechargeabl, BT 5.1+2.4G Deux Modes Disponibles, Gris",2100,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/97/453911/1.jpg?7138,Generic,"['2.4G+Bluetooth dual-mode( BT3.0 Or BT5.2 ), which can be connected to the computer through the USB receiver, or through the Bluetooth and the computer, provides reliable connection within a range of 10m, allows you to say goodbye to the wired shackles and operate more freely.', 'Ergonomic design, fits the hand, provides comfortable feel, effectively reduces hand fatigue.', 'Humanized silent design, creates a quiet and comfortable environment whether you are in quiet office or studying late at night in the library.', 'Accurate Tracking:The slim wireless mouse has 3 DPI level (800-1200-1600) to meet your different demands, experience smooth tracking on most surfaces.', '7 Colors RGB LED Breathing Light - This kind of light will not make you dazzling, but it can definitely increase the beauty of the product, especially at night, it can create a cool effect; As long as you turn on the light button, it will automatically switch between different light colors.', 'Slim design, lightweight and portable, you can easily put it in a bag or pocket, more convenient to use.', 'Built-in 500mAh rechargeable batter, adopt Low and energy saving technology, no need to charge the batter repeatedly.']",Souris sans fil，Souris Bluetooth sans fil，Souris sans fil lumineuse,Gris,ordinateurs-accessoires-informatique
"Generic Clé USB Wifi Adaptateur, Lecteur 300M WiFi Gratuit",3990,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/51/103911/1.jpg?7264,Generic,"['Matériel: ABS + métal', 'Taux de transmission: 300 Mbps', 'Protocole de support: 802.11B  G  N', 'Bande de fréquence de travail: 2.4G', 'Chipset: pour Realtek RTL8192FM', 'Connecteur USB 2.0 haute vitesse', 'Prise en charge pour Win XP  Vista  Linnux  Win 7  Win 8  Win8.1  Win10']",USB WiFi 300M,noir,ordinateurs-accessoires-informatique
Generic Support ordinateur pliable portatif,3250,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/89/482711/1.jpg?4752,Generic,"[""Nom: support d'ordinateur portable"", 'Couleur: tempérament argent, gris sidéral profond', 'Matériau: matière plastique silicone', 'Style: pliable et réglable', 'Charge statique: environ 50 kg']",0.1,Blanc,ordinateurs-accessoires-informatique
"Hp Ordinateur Portable - 11,6"" Stream Laptop   4Go RAM - 64Go - Noir",109500,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/81/41879/1.jpg?8686,Hp,"['Type de produit : Ordinateur Portable', 'Modèle :', 'Affichage: 11""', 'Stockage: 64Go', 'Mémoire: , 4Go RAM', 'Processeur: Intel Celeron N3050', ""Système d'exploitation: Windows 10"", 'Connectivité: Wi-Fi, Bluetooth', 'Ports: HDMI, USB', 'Clavier : AZERTY']",hp stream,noir,ordinateurs-accessoires-informatique
Generic Support pour ordinateur portable en aluminium - Argent,5990,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/63/475911/1.jpg?2693,Generic,"['Type : Support pour ordinateur portable', 'quantité: 1', ""Matériau : alliage d'aluminium"", 'Couleur : argentgris', 'Largeur : 45-190 mm  1,77-7,47 pouces', 'Longueur : 29 cm  11,4 pouces', 'Hauteur: 2,5-31 cm 0,98-12,18 pouces']",for computer,silver,ordinateurs-accessoires-informatique
Generic 128GB suspendu USB Flash Drive haute vitesse,3790,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/92/804021/1.jpg?1010,Generic,"['Capacité de stockage: 128GB', 'Compatible avec: ordinateur portable, ordinateur, etc.', 'Couleur: noir', 'Haute vitesse', 'Faciliter la sauvegarde de vos documents']",U DISK-128GB,BLACK,ordinateurs-accessoires-informatique
