Nom,prix,link,marque,Description,modele,couleur,cathegorie,identification,file_name
TOPICREM Topicrem Lait Corps Ultra-Hydratant - 500 ml,7500,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/14/983021/1.jpg?1323,TOPICREM,"['Lait Corps 500 ml.', 'Hydrate pendant 24h les peaux sèches et sensibles.', 'Riche en agents hydratants.', 'Pénètre rapidement et fait disparaître les signes de sécheresse cutanée.', 'Idéal pour les peaux sèches, déshydratées.']",0.5,Blanc,beaute-hygiene-sante,23,c:\Users\kiemd\OneDrive\Desktop\Porjetfin\data_images\beaute-hygiene-sante\23_TOPICREM_Topicrem_Lait_Corps_Ultra-Hydratant_-_500_ml.jpg
Generic Lisseur cheveux CREPUS - Peigne électrique chauffante,6500,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/80/11579/1.jpg?8628,Generic,"['marque', 'CKL 1056', 'Utilisation', 'étendue', 'Nombre de produits', '964']",Lisseur,Noir,beaute-hygiene-sante,24,c:\Users\kiemd\OneDrive\Desktop\Porjetfin\data_images\beaute-hygiene-sante\24_Generic_Lisseur_cheveux_CREPUS_-_Peigne__lectrique_chauffante.jpg
Generic 2000mAh Rechargeable Tondeuse A Cheveux Sans Fil-Blanc,7990,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/99/544611/1.jpg?1463,Generic,"['Couleur blanche', 'Logement ABS', 'Batterie de Li-on :2000MAh.', 'Lumière à LED.', 'Accessoires :4 peignes de guidage, brosse de nettoyage et adaptateur']",Hair Clipper,Cream,beaute-hygiene-sante,25,c:\Users\kiemd\OneDrive\Desktop\Porjetfin\data_images\beaute-hygiene-sante\25_Generic_2000mAh_Rechargeable_Tondeuse_A_Cheveux_Sans_Fil-Blanc.jpg
Generic Tondeuse A Cheveux Electronique - Or,3320,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/33/589711/1.jpg?4354,Generic,"['Professional Hairdressing Salon', 'Gender: Male (Male)', 'Item Style: Gold dragon', 'Name: hair clippers', 'Input voltage: Global universal (100-240V), 5060 z', 'Plug type: EU.US.UK (Add adapter). AU (Add adapter)', 'Power Type: Rechargeable', 'Charging method: USB charging station', 'Battery: 3.7V', 'Battery capacity: 1200mA', 'Wear resistance', 'Easy to clean', 'ON  OFF button', 'Easy to use one button switch.', 'For salon or household Professional hairdressing salon', 'Size: 135mm * 40mm * 25mm', 'Weight: 0.22kg', 'Please fully charge it before using it']",Rechargeable Monster Metal Hair Clipper Gold,Or,beaute-hygiene-sante,26,c:\Users\kiemd\OneDrive\Desktop\Porjetfin\data_images\beaute-hygiene-sante\26_Generic_Tondeuse_A_Cheveux_Electronique_-_Or.jpg
Generic Brosse Nettoyante Electrique Pour Visage - 5 In 1 - Rose/Blanc,2480,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/70/14906/1.jpg?8687,Generic,"['Type de produit \u200e:\u200e Brosse Electrique pour soins de Visage 5 En 1', 'Formulation : il est composé de 5 têtes spécifiques pour un entretien optimal du visage', 'Particularité : Il garantit une bonne exfoliation, un nettoyage et un massage idéal de votre peau.', 'Capacité : 0.150kg', 'NB: piles non fournies']",FC001,Rose/Blanc,beaute-hygiene-sante,27,c:\Users\kiemd\OneDrive\Desktop\Porjetfin\data_images\beaute-hygiene-sante\27_Generic_Brosse_Nettoyante_Electrique_Pour_Visage_-_5_In_1_-_Rose_Blanc.jpg
Generic Pompe aigle spray 50000,2900,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/32/752121/1.jpg?6649,Generic,"['VIGA 50000 pour homme', 'Volume : 45ml', 'Couleur : noire', 'Type : Pompe aphrodisiaque', ""Conçue uniquement contre l'éjaculation précoce"", 'Aucun effet secondaire', ""Mode d'utilisation: Appliquer sur le pénis 15mn avant de faire un rapport sexuel.""]",50000,Noir,beaute-hygiene-sante,28,c:\Users\kiemd\OneDrive\Desktop\Porjetfin\data_images\beaute-hygiene-sante\28_Generic_Pompe_aigle_spray_50000.jpg
"Clothes Of Skin Sérum de Cheveux, huile Pour La Pousse Rapide Des Cheveux, traitment Pour Pousse Des Cheveux",2500,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/94/939711/1.jpg?6145,Clothes Of Skin,"['Type de produit : Essence de croissance des cheveux', 'Marque : Clothes Of Skin', 'Modèle : Huile', 'Volume : 30 ml', 'Parfum : Arôme de Gingembre', 'Dimensions du colis\t\u200e: 10.4 x 3.7 x 3.6 cm', 'Type de cheveux : Coloré, Normal, Frisé']",Sérum,Verte,beaute-hygiene-sante,29,c:\Users\kiemd\OneDrive\Desktop\Porjetfin\data_images\beaute-hygiene-sante\29_Clothes_Of_Skin_S_rum_de_Cheveux__huile_Pour_La_Pousse_Rapide_Des_Cheveux__traitment_Pour_Pousse_Des_Cheveux.jpg
Aichun Beauty Huile Pousse Barbe rapide - 30 ml,1800,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/35/212001/1.jpg?6019,Aichun Beauty,"['Huile Pousse Barbe Rapide', 'Contenance :\xa0 30 ml', 'Huile essentielle pour faire pousser barbe, moustache ...', 'Empêche les poils de dessécher et protège également la peau', 'Hydrate et répare la peau, souvent irritée à cause des poils de la barbe.', 'Stimule la croissance des poils et des cheveux et hydrate le système pileux.']",Huile Pousse,noir,beaute-hygiene-sante,30,c:\Users\kiemd\OneDrive\Desktop\Porjetfin\data_images\beaute-hygiene-sante\30_Aichun_Beauty_Huile_Pousse_Barbe_rapide_-_30_ml.jpg
Lanbena Patte Best Qualité - Liquide Blanchiment Dentaire Lanbena,3800,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/00/68639/1.jpg?7823,Lanbena,"['Effet blanchissant.', 'Résultat visible dès la 1ère application', 'A long terme', 'Enlève la fluorose dentaire', 'Facile à appliquer']",Blanchiment Dentaire 60ml,Blanc bleue,beaute-hygiene-sante,31,c:\Users\kiemd\OneDrive\Desktop\Porjetfin\data_images\beaute-hygiene-sante\31_Lanbena_Patte_Best_Qualit__-_Liquide_Blanchiment_Dentaire_Lanbena.jpg
Generic 2 En 1 Lisseur à Cheveux Outils De Coiffage-Blanc,2890,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/50/332401/1.jpg?5943,Generic,"['Matériau: plastique', 'Fréquence: 50hz', 'Coiffure applicable: sèche', 'Régulateur de température: thermostat', 'Package: Rolled Iron x1, UK plug x1']",SN1006,Blanc,beaute-hygiene-sante,32,c:\Users\kiemd\OneDrive\Desktop\Porjetfin\data_images\beaute-hygiene-sante\32_Generic_2_En_1_Lisseur___Cheveux_Outils_De_Coiffage-Blanc.jpg
